Test #;Build #;Category;Test Case;Expected Result;Actual Result;Repeatable?;Blocker?;Test Owner
1;3/5/2024;Game;Bug: Luna blocks "Deck Builder" button.;I expected to be able to click “Deck Builder”.;“Deck Builder” was hidden behind Luna.;Yes;Yes;Angel Venegas
2;3/5/2024;Tutorial;Bug: Does not let me add 20 guardians like I'm supposed to.;I expected to get 20 guardians instead of just 1.;Only 1 guardian was added.;Yes;Yes;Angel Venegas
